state,district,market,commodity,variety,min_price,modal_price
Assam,Other,Other,Lentil (Masur)(Whole),Masur Dal,5200,5350.0
Assam,Other,Other,Rice,Common,2200,2550.0
Assam,Other,Other,Rice,Fine,2800,3300.0
Chattisgarh,Other,Other,Paddy(Dhan)(Common),Paddy,1200,1300.0
Chattisgarh,Balrampur,Other,Maize,Local,1710,1710.0
Chattisgarh,Balrampur,Other,Wheat,Local,1840,1840.0
Chattisgarh,Bilaspur,Other,Paddy(Dhan)(Common),Paddy,1300,1300.0
Chattisgarh,Bilaspur,Other,Paddy(Dhan)(Common),Paddy,1550,1550.0
Chattisgarh,Other,Other,Maize,Medium,1700,1700.0
Chattisgarh,Durg,Other,Bhindi(Ladies Finger),Bhindi,1200,1400.0
Chattisgarh,Durg,Other,Bitter gourd,Bitter Gourd,2700,2800.0
Chattisgarh,Durg,Other,Cucumbar(Kheera),Cucumbar,1500,1600.0
Chattisgarh,Durg,Other,Tomato,Local,3900,4000.0
Chattisgarh,Other,Other,Paddy(Dhan)(Common),Paddy,1350,1350.0
Chattisgarh,Other,Other,Paddy(Dhan)(Common),Paddy,1400,1400.0
Chattisgarh,Other,Other,Paddy(Dhan)(Common),1001,1300,1300.0
Chattisgarh,Other,Other,Paddy(Dhan)(Common),Fine,1300,1300.0
Chattisgarh,Other,Other,Paddy(Dhan)(Common),Fine,1300,1300.0
Chattisgarh,Other,Other,Paddy(Dhan)(Common),1001,1300,1300.0
Chattisgarh,Other,Other,Paddy(Dhan)(Common),Fine,1300,1300.0
Chattisgarh,Other,Other,Paddy(Dhan)(Common),Paddy Coarse,1350,1350.0
Chattisgarh,Rajnandgaon,Other,Paddy(Dhan)(Common),1001,1500,1750.0
Chattisgarh,Rajnandgaon,Other,Banana,Banana - Ripe,2200,2200.0
Chattisgarh,Rajnandgaon,Other,Bhindi(Ladies Finger),Bhindi,1200,1200.0
Chattisgarh,Rajnandgaon,Other,Brinjal,Brinjal,800,800.0
Chattisgarh,Rajnandgaon,Other,Cabbage,Cabbage,2000,2000.0
Chattisgarh,Rajnandgaon,Other,Lemon,Lemon,3000,3000.0
Chattisgarh,Rajnandgaon,Other,Mango,Badami,5000,5000.0
Chattisgarh,Rajnandgaon,Other,Mousambi(Sweet Lime),Mousambi,4000,4000.0
Chattisgarh,Rajnandgaon,Other,Onion,Onion,1800,1800.0
Chattisgarh,Rajnandgaon,Other,Potato,Potato,1200,1200.0
Chattisgarh,Rajnandgaon,Other,Raddish,Raddish,1800,1800.0
Chattisgarh,Rajnandgaon,Other,Tomato,Local,2500,2500.0
Chattisgarh,Other,Other,Groundnut,Local,4900,4900.0
Chattisgarh,Other,Other,Paddy(Dhan)(Common),Fine,2800,2800.0
Chattisgarh,Other,Other,Paddy(Dhan)(Common),Paddy,1420,1775.0
Goa,Other,Other,Arecanut(Betelnut/Supari),Red,18500,18500.0
Goa,Other,Other,Arecanut(Betelnut/Supari),White,19500,19500.0
Gujarat,Ahmedabad,Ahmedabad,Capsicum,Capsicum,2500,3100.0
Gujarat,Ahmedabad,Other,Onion,Local,900,1125.0
Gujarat,Ahmedabad,Other,Onion,Nasik,900,1200.0
Gujarat,Ahmedabad,Other,Potato,Desi,250,475.0
Gujarat,Amreli,Amreli,Arhar (Tur/Red Gram)(Whole),Hybrid,2500,3250.0
Gujarat,Amreli,Amreli,Bajra(Pearl Millet/Cumbu),Hybrid,2075,2150.0
Gujarat,Amreli,Amreli,Black Gram (Urd Beans)(Whole),Hybrid,5500,5665.0
Gujarat,Amreli,Amreli,Castor Seed,Castor seed,5070,5255.0
Gujarat,Amreli,Amreli,Cummin Seed(Jeera),Cummin Seed(Jeera),14730,15805.0
Gujarat,Amreli,Amreli,Jowar(Sorghum),Jowar ( White),1905,3125.0
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,8460,17490.0
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Red,13720,13805.0
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",White,7500,10770.0
Gujarat,Amreli,Amreli,Wheat,Lokwan,1995,2065.0
Gujarat,Amreli,Other,Bhindi(Ladies Finger),Bhindi,3300,3600.0
Gujarat,Amreli,Other,Capsicum,Capsicum,2500,3000.0
Gujarat,Amreli,Other,Guar,Gwar,2700,3000.0
Gujarat,Amreli,Other,Lemon,Lemon,5000,5500.0
Gujarat,Amreli,Other,Bajra(Pearl Millet/Cumbu),Local,2045,2133.0
Gujarat,Amreli,Other,Cotton,Local,6125,6125.0
Gujarat,Amreli,Other,Groundnut,Local,4700,4700.0
Gujarat,Amreli,Other,Jowar(Sorghum),Local,2030,2573.0
Gujarat,Amreli,Other,Mustard,Mustard,3765,3765.0
Gujarat,Amreli,Other,"Sesamum(Sesame,Gingelly,Til)",Black,15255,15255.0
Gujarat,Amreli,Other,"Sesamum(Sesame,Gingelly,Til)",White,9550,9550.0
Gujarat,Amreli,Other,Bajra(Pearl Millet/Cumbu),Deshi,1750,1925.0
Gujarat,Amreli,Other,Bengal Gram(Gram)(Whole),Desi (Whole),3850,4125.0
Gujarat,Amreli,Other,Castor Seed,Castor seed,4750,4925.0
Gujarat,Amreli,Other,Cummin Seed(Jeera),Cummin Seed(Jeera),14000,14960.0
Gujarat,Amreli,Other,Green Gram (Moong)(Whole),Green (Whole),5250,5688.0
Gujarat,Amreli,Other,Jowar(Sorghum),Jowar ( White),1750,2250.0
Gujarat,Amreli,Other,Maize,Hybrid,2050,2150.0
Gujarat,Amreli,Other,"Sesamum(Sesame,Gingelly,Til)",Black,15000,16188.0
Gujarat,Amreli,Other,"Sesamum(Sesame,Gingelly,Til)",White,9750,10163.0
Gujarat,Amreli,Other,Wheat,Lokwan,1900,2038.0
Gujarat,Anand,Other,Bhindi(Ladies Finger),Bhindi,750,900.0
Gujarat,Anand,Other,Bottle gourd,Bottle Gourd,400,450.0
Gujarat,Anand,Other,Brinjal,Brinjal,500,550.0
Gujarat,Anand,Other,Cabbage,Cabbage,2250,2300.0
Gujarat,Anand,Other,Cauliflower,Cauliflower,1500,1750.0
Gujarat,Anand,Other,Green Chilli,Green Chilly,1750,1900.0
Gujarat,Anand,Other,Onion,Onion,900,1200.0
Gujarat,Anand,Other,Potato,Potato,500,600.0
Gujarat,Anand,Other,Paddy(Dhan)(Common),Paddy,1900,1920.0
Gujarat,Anand,Other,Bajra(Pearl Millet/Cumbu),Deshi,1700,2005.0
Gujarat,Anand,Other,Castor Seed,Castor seed,5000,5175.0
Gujarat,Anand,Other,Wheat,Deshi,1750,2020.0
Gujarat,Banaskanth,Other,Bajra(Pearl Millet/Cumbu),Hybrid,1850,2050.0
Gujarat,Banaskanth,Other,Mustard,Mustard,3450,3520.0
Gujarat,Banaskanth,Other,Bajra(Pearl Millet/Cumbu),Deshi,1825,1927.0
Gujarat,Banaskanth,Other,Castor Seed,Castor seed,5350,5375.0
Gujarat,Banaskanth,Other,Mustard,Mustard,3550,3567.0
Gujarat,Banaskanth,Other,Bajra(Pearl Millet/Cumbu),Deshi,1850,1945.0
Gujarat,Banaskanth,Other,Bajra(Pearl Millet/Cumbu),Deshi,1950,2045.0
Gujarat,Banaskanth,Other,Bajra(Pearl Millet/Cumbu),Hybrid,1800,1922.5
Gujarat,Bharuch,Ankleshwar,Bhindi(Ladies Finger),Bhindi,650,925.0
Gujarat,Bharuch,Ankleshwar,Bitter gourd,Bitter Gourd,2225,2900.0
Gujarat,Bharuch,Ankleshwar,Bottle gourd,Bottle Gourd,825,1450.0
Gujarat,Bharuch,Ankleshwar,Brinjal,Brinjal,875,1725.0
Gujarat,Bharuch,Ankleshwar,Cabbage,Cabbage,2225,2900.0
Gujarat,Bharuch,Ankleshwar,Capsicum,Capsicum,2225,2900.0
Gujarat,Bharuch,Ankleshwar,Carrot,Carrot,2225,2900.0
Gujarat,Bharuch,Ankleshwar,Cauliflower,Cauliflower,2750,4750.0
Gujarat,Bharuch,Ankleshwar,Coriander(Leaves),Coriander,6150,10000.0
Gujarat,Bharuch,Ankleshwar,Cowpea(Veg),Cowpea (Veg),1850,3000.0
Gujarat,Bharuch,Ankleshwar,Cucumbar(Kheera),Cucumbar,1100,1325.0
Gujarat,Bharuch,Ankleshwar,Drumstick,Drumstick,4250,5150.0
Gujarat,Bharuch,Ankleshwar,Ginger(Green),Green Ginger,6350,8150.0
Gujarat,Bharuch,Ankleshwar,Green Chilli,Green Chilly,2225,3125.0
Gujarat,Bharuch,Ankleshwar,Guar,Gwar,1950,3150.0
Gujarat,Bharuch,Ankleshwar,Lemon,Lemon,2150,2375.0
Gujarat,Bharuch,Ankleshwar,Pointed gourd (Parval),Pointed gourd (Parval),1325,2000.0
Gujarat,Bharuch,Ankleshwar,Ridgeguard(Tori),Ridgeguard(Tori),3750,4200.0
Gujarat,Bharuch,Ankleshwar,Sponge gourd,Sponge gourd,825,1500.0
Gujarat,Bharuch,Ankleshwar,Tomato,Tomato,2150,3300.0
Gujarat,Other,Other,Bajra(Pearl Millet/Cumbu),Hybrid,1850,2000.0
Gujarat,Other,Other,Onion,Red,255,1000.0
Gujarat,Other,Other,"Sesamum(Sesame,Gingelly,Til)",Black,15655,17030.0
Gujarat,Other,Other,"Sesamum(Sesame,Gingelly,Til)",White,10105,10445.0
Gujarat,Dahod,Dahod,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),4800,5000.0
Gujarat,Dahod,Dahod,Bengal Gram(Gram)(Whole),Desi (Whole),4150,4165.0
Gujarat,Dahod,Dahod,Black Gram (Urd Beans)(Whole),Black Gram (Whole),4200,4500.0
Gujarat,Dahod,Dahod,Castor Seed,Castor seed,5150,5200.0
Gujarat,Dahod,Dahod,Green Gram (Moong)(Whole),Green (Whole),5700,5800.0
Gujarat,Dahod,Dahod,Jowar(Sorghum),Jowar ( White),1900,2100.0
Gujarat,Dahod,Dahod,Maize,Yellow,2150,2175.0
Gujarat,Dahod,Dahod,Paddy(Dhan)(Common),Paddy Coarse,1520,1540.0
Gujarat,Dahod,Dahod,Rice,Coarse,3800,4000.0
Gujarat,Dahod,Dahod,"Sesamum(Sesame,Gingelly,Til)",White,8500,9800.0
Gujarat,Dahod,Dahod,Soyabean,Soyabeen,3500,3525.0
Gujarat,Dahod,Dahod,Wheat,147 Average,2150,2200.0
Gujarat,Dahod,Dahod,Wheat,Lokwan,2150,2200.0
Gujarat,Dahod,Dahod(Veg. Market),Bhindi(Ladies Finger),Bhindi,500,1000.0
Gujarat,Dahod,Dahod(Veg. Market),Bitter gourd,Bitter Gourd,1500,2000.0
Gujarat,Dahod,Dahod(Veg. Market),Bottle gourd,Bottle Gourd,500,1200.0
Gujarat,Dahod,Dahod(Veg. Market),Brinjal,Brinjal,800,1500.0
Gujarat,Dahod,Dahod(Veg. Market),Cabbage,Cabbage,2000,2800.0
Gujarat,Dahod,Dahod(Veg. Market),Carrot,Carrot,3000,3000.0
Gujarat,Dahod,Dahod(Veg. Market),Cauliflower,Cauliflower,3000,5000.0
Gujarat,Dahod,Dahod(Veg. Market),Coriander(Leaves),Coriander,5000,8000.0
Gujarat,Dahod,Dahod(Veg. Market),Cucumbar(Kheera),Cucumbar,800,1500.0
Gujarat,Dahod,Dahod(Veg. Market),Ginger(Green),Green Ginger,9000,9800.0
Gujarat,Dahod,Dahod(Veg. Market),Green Chilli,Green Chilly,2500,3200.0
Gujarat,Dahod,Dahod(Veg. Market),Onion,Onion,800,1500.0
Gujarat,Dahod,Dahod(Veg. Market),Potato,Potato,700,900.0
Gujarat,Dahod,Dahod(Veg. Market),Pumpkin,Pumpkin,1000,1200.0
Gujarat,Dahod,Dahod(Veg. Market),Tomato,Tomato,4000,4500.0
Gujarat,Dahod,Other,Paddy(Dhan)(Common),Common,1380,1390.0
Gujarat,Dahod,Other,Paddy(Dhan)(Common),Common,1380,1390.0
Gujarat,Gandhinagar,Other,Bajra(Pearl Millet/Cumbu),Deshi,1725,1790.0
Gujarat,Gandhinagar,Other,Castor Seed,Castor seed,5250,5415.0
Gujarat,Gandhinagar,Other,Jowar(Sorghum),White,3005,3155.0
Gujarat,Gandhinagar,Other,Wheat,Medium,1985,2040.0
Gujarat,Gandhinagar,Other,Brinjal,Brinjal,600,600.0
Gujarat,Gandhinagar,Other,Brinjal,Round,500,550.0
Gujarat,Gandhinagar,Other,Brinjal,Round/Long,1000,1250.0
Gujarat,Other,Other,Cummin Seed(Jeera),Medium,10500,12500.0
Gujarat,Junagarh,Other,Bajra(Pearl Millet/Cumbu),Hybrid,1900,1950.0
Gujarat,Junagarh,Other,Groundnut,Local,4750,4825.0
Gujarat,Junagarh,Other,Jowar(Sorghum),Jowar ( White),2750,3100.0
Gujarat,Junagarh,Visavadar,Onion,Onion,355,560.0
Gujarat,Junagarh,Visavadar,"Sesamum(Sesame,Gingelly,Til)",Black,13600,15650.0
Gujarat,Junagarh,Visavadar,"Sesamum(Sesame,Gingelly,Til)",White,9360,9940.0
Gujarat,Other,Other,Castor Seed,Castor seed,5480,5490.0
Gujarat,Other,Other,Cummin Seed(Jeera),Cummin Seed(Jeera),15250,15400.0
Gujarat,Other,Other,Castor Seed,Castor seed,5375,5387.0
Gujarat,Other,Other,Green Gram (Moong)(Whole),Green (Whole),5000,5350.0
Gujarat,Other,Other,Cummin Seed(Jeera),Cummin Seed(Jeera),15065,15400.0
Gujarat,Other,Other,Bajra(Pearl Millet/Cumbu),Deshi,1800,1850.0
Gujarat,Other,Other,Paddy(Dhan)(Common),Paddy,1550,1600.0
Gujarat,Other,Other,Bajra(Pearl Millet/Cumbu),Deshi,1800,1850.0
Gujarat,Mehsana,Other,Bajra(Pearl Millet/Cumbu),Deshi,1980,2000.0
Gujarat,Mehsana,Other,Cummin Seed(Jeera),Medium,12755,15000.0
Gujarat,Mehsana,Other,Wheat,Deshi,1925,2025.0
Gujarat,Mehsana,Other,Bajra(Pearl Millet/Cumbu),Local,1735,1900.0
Gujarat,Mehsana,Other,Castor Seed,Castor seed,5325,5380.0
Gujarat,Mehsana,Other,Mustard,Mustard,3465,3540.0
Gujarat,Mehsana,Other,Wheat,Local,1875,1950.0
Gujarat,Mehsana,Other,Bajra(Pearl Millet/Cumbu),Local,1835,1950.0
Gujarat,Mehsana,Other,Castor Seed,Castor seed,5335,5350.0
Gujarat,Mehsana,Other,Mustard,Mustard,3460,3460.0
Gujarat,Mehsana,Other,Bhindi(Ladies Finger),Bhindi,800,1750.0
Gujarat,Mehsana,Other,Cabbage,Cabbage,2500,2600.0
Gujarat,Mehsana,Other,Cauliflower,Cauliflower,200,2500.0
Gujarat,Mehsana,Other,Green Chilli,Green Chilly,700,2250.0
Gujarat,Mehsana,Other,Lemon,Lemon,1750,2750.0
Gujarat,Mehsana,Other,Onion,Onion,600,1150.0
Gujarat,Mehsana,Other,Potato,Potato,200,625.0
Gujarat,Mehsana,Other,Tomato,Tomato,2500,3250.0
Gujarat,Mehsana,Other,Castor Seed,Castor seed,5455,5455.0
Gujarat,Mehsana,Other,Cummin Seed(Jeera),Cummin Seed(Jeera),13700,15500.0
Gujarat,Mehsana,Other,Mustard,Mustard,3455,3575.0
Gujarat,Patan,Other,Cummin Seed(Jeera),Medium,14000,15000.0
Gujarat,Patan,Other,Castor Seed,Castor seed,5300,5380.0
Gujarat,Patan,Other,Cummin Seed(Jeera),Cummin Seed(Jeera),14500,15375.0
Gujarat,Patan,Other,Bajra(Pearl Millet/Cumbu),Deshi,1650,1860.0
Gujarat,Patan,Other,Barley (Jau),Deshi,2015,2015.0
Gujarat,Patan,Other,Castor Seed,Castor seed,5315,5372.0
Gujarat,Patan,Other,Cummin Seed(Jeera),Cummin Seed(Jeera),14400,14812.0
Gujarat,Patan,Other,Jowar(Sorghum),Jowar ( White),2250,3905.0
Gujarat,Patan,Other,Mustard,Mustard,3375,3427.0
Gujarat,Patan,Other,Wheat,Hybrid,2000,2062.0
Gujarat,Rajkot,Other,Brinjal,Brinjal,600,900.0
Gujarat,Rajkot,Other,Cabbage,Cabbage,2600,2900.0
Gujarat,Rajkot,Other,Castor Seed,Castor seed,5055,5180.0
Gujarat,Rajkot,Other,Green Chilli,Green Chilly,1800,2200.0
Gujarat,Rajkot,Other,"Sesamum(Sesame,Gingelly,Til)",White,9130,10105.0
Gujarat,Rajkot,Other,Soyabean,Yellow,3230,3280.0
Gujarat,Rajkot,Other,Tomato,Deshi,2700,2900.0
Gujarat,Rajkot,Other,Wheat,Lokwan,1880,2105.0
Gujarat,Rajkot,Other,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),4130,5130.0
Gujarat,Rajkot,Other,Bajra(Pearl Millet/Cumbu),Deshi,1755,1755.0
Gujarat,Rajkot,Other,Black Gram (Urd Beans)(Whole),Desi,2755,4630.0
Gujarat,Rajkot,Other,Castor Seed,Castor seed,4905,5280.0
Gujarat,Rajkot,Other,Cummin Seed(Jeera),Cummin Seed(Jeera),11005,15705.0
Gujarat,Rajkot,Other,Green Gram (Moong)(Whole),Green (Whole),2880,5380.0
Gujarat,Rajkot,Other,Maize,Yellow,2205,2705.0
Gujarat,Rajkot,Other,Onion,Red,255,830.0
Gujarat,Rajkot,Other,"Sesamum(Sesame,Gingelly,Til)",Red,13005,15880.0
Gujarat,Rajkot,Other,Soyabean,Yellow,1950,2120.0
Gujarat,Rajkot,Other,Wheat,Lokwan,1950,2120.0
Gujarat,Rajkot,Other,Apple,Apple,11000,13000.0
Gujarat,Rajkot,Other,Banana,Banana - Ripe,1500,1750.0
Gujarat,Rajkot,Other,Bhindi(Ladies Finger),Bhindi,700,1000.0
Gujarat,Rajkot,Other,Brinjal,Brinjal,300,550.0
Gujarat,Rajkot,Other,Cabbage,Cabbage,2000,3000.0
Gujarat,Rajkot,Other,Carrot,Carrot,2000,2250.0
Gujarat,Rajkot,Other,Cauliflower,Cauliflower,3000,3250.0
Gujarat,Rajkot,Other,Cucumbar(Kheera),Cucumbar,1500,2000.0
Gujarat,Rajkot,Other,Green Chilli,Green Chilly,1000,1500.0
Gujarat,Rajkot,Other,Guar,Gwar,2500,5000.0
Gujarat,Rajkot,Other,Mousambi(Sweet Lime),Mousambi,7000,7500.0
Gujarat,Rajkot,Other,Pomegranate,Pomogranate,1000,2000.0
Gujarat,Rajkot,Other,Cummin Seed(Jeera),Cummin Seed(Jeera),13000,14400.0
Gujarat,Rajkot,Other,Maize,Hybrid/Local,2055,2055.0
Gujarat,Rajkot,Other,"Sesamum(Sesame,Gingelly,Til)",Black,13500,15750.0
Gujarat,Rajkot,Other,"Sesamum(Sesame,Gingelly,Til)",White,8000,9750.0
Gujarat,Rajkot,Morbi,Bhindi(Ladies Finger),Bhindi,500,750.0
Gujarat,Rajkot,Morbi,Bottle gourd,Bottle Gourd,700,850.0
Gujarat,Rajkot,Morbi,Brinjal,Brinjal,500,750.0
Gujarat,Rajkot,Morbi,Cabbage,Cabbage,2500,2750.0
Gujarat,Rajkot,Morbi,Cucumbar(Kheera),Cucumbar,1000,1250.0
Gujarat,Rajkot,Morbi,Cummin Seed(Jeera),Cummin Seed(Jeera),11000,13395.0
Gujarat,Rajkot,Morbi,Green Chilli,Green Chilly,1000,1250.0
Gujarat,Rajkot,Morbi,Guar,Gwar,3500,3750.0
Gujarat,Rajkot,Morbi,Lemon,Lemon,2000,2500.0
Gujarat,Rajkot,Morbi,Onion,Onion,650,1200.0
Gujarat,Rajkot,Morbi,"Sesamum(Sesame,Gingelly,Til)",White,9500,9925.0
Gujarat,Rajkot,Morbi,Tomato,Tomato,3500,3750.0
Gujarat,Rajkot,Morbi,Wheat,Local,1910,2020.0
Gujarat,Rajkot,Rajkot,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),5365,5405.0
Gujarat,Rajkot,Rajkot,Bajra(Pearl Millet/Cumbu),Deshi,1825,1975.0
Gujarat,Rajkot,Rajkot,Bengal Gram(Gram)(Whole),Desi (Whole),3725,4350.0
Gujarat,Rajkot,Rajkot,Black Gram (Urd Beans)(Whole),Desi,5085,5205.0
Gujarat,Rajkot,Rajkot,Cummin Seed(Jeera),Cummin Seed(Jeera),15100,15700.0
Gujarat,Rajkot,Rajkot,Green Gram (Moong)(Whole),Green (Whole),5000,5685.0
Gujarat,Rajkot,Rajkot,Jowar(Sorghum),Jowar ( White),2895,3000.0
Gujarat,Rajkot,Rajkot,Maize,Red,1975,2050.0
Gujarat,Rajkot,Rajkot,Mustard,Mustard,2950,3050.0
Gujarat,Rajkot,Rajkot,"Sesamum(Sesame,Gingelly,Til)",Black,14650,16575.0
Gujarat,Rajkot,Rajkot,"Sesamum(Sesame,Gingelly,Til)",White,9625,10150.0
Gujarat,Rajkot,Rajkot,Wheat,Lokwan,1990,2075.0
Gujarat,Rajkot,Other,Bhindi(Ladies Finger),Bhindi,1000,1375.0
Gujarat,Rajkot,Other,Bottle gourd,Bottle Gourd,600,925.0
Gujarat,Rajkot,Other,Brinjal,Brinjal,500,600.0
Gujarat,Rajkot,Other,Cluster beans,Cluster Beans,2500,3125.0
Gujarat,Rajkot,Other,Coriander(Leaves),Coriander,5000,6000.0
Gujarat,Rajkot,Other,Ginger(Green),Green Ginger,8000,8625.0
Gujarat,Rajkot,Other,Green Chilli,Green Chilly,1100,1425.0
Gujarat,Rajkot,Other,Lemon,Lemon,2250,2625.0
Gujarat,Rajkot,Other,Onion,Onion,555,1050.0
Gujarat,Rajkot,Other,Potato,Desi,450,600.0
Gujarat,Rajkot,Other,Tomato,Tomato,3250,3625.0
Gujarat,Sabarkantha,Other,Bajra(Pearl Millet/Cumbu),Local,1650,1825.0
Gujarat,Sabarkantha,Other,Castor Seed,Castor seed,5150,5300.0
Gujarat,Sabarkantha,Other,Maize,Yellow,1750,1975.0
Gujarat,Sabarkantha,Other,Wheat,Lokwan,1650,1850.0
Gujarat,Surat,Other,Bengal Gram(Gram)(Whole),Average (Whole),2750,3425.0
Gujarat,Surat,Other,Brinjal,Brinjal,1000,1750.0
Gujarat,Surendranagar,Other,Cummin Seed(Jeera),Cummin Seed(Jeera),12500,15500.0
Gujarat,Surendranagar,Other,Wheat,Hybrid,1700,2000.0
Gujarat,Surendranagar,Other,Castor Seed,Castor seed,5370,5372.5
Gujarat,Surendranagar,Other,Cummin Seed(Jeera),Cummin Seed(Jeera),14000,15125.0
Gujarat,Surendranagar,Other,"Sesamum(Sesame,Gingelly,Til)",White,9750,10250.0
Gujarat,Surendranagar,Vadhvan,Amaranthus,Amaranthus,1000,1250.0
Gujarat,Surendranagar,Vadhvan,Bitter gourd,Bitter Gourd,2000,2250.0
Gujarat,Surendranagar,Vadhvan,Bottle gourd,Bottle Gourd,1000,1375.0
Gujarat,Surendranagar,Vadhvan,Brinjal,Brinjal,1000,1125.0
Gujarat,Surendranagar,Vadhvan,Cabbage,Cabbage,1500,1750.0
